Industry,2022 NAICS code,Dec. 2024,Aug. 2025,Sept. 2025,Oct. 2025,Nov. 2025 (p),Dec. 2025 (p),Change from: Nov.2025 - Dec.2025(p)
"Electrical apparatus and equipment, wiring supplies, and related equipment merchant wholesalers",42361,201.5,197.2,194.8,197.2,197.6,-,-
"Household appliances, electric housewares, consumer electronics, and other electronic parts and equipment merchant wholesalers","42362,9",178.9,173.3,173.4,173.9,174,-,-
"Hardware, and plumbing and heating equipment and supplies merchant wholesalers",4237,318.6,320,319.1,320.4,322.7,-,-
Hardware merchant wholesalers,42371,95.3,92,91.7,90.9,91.7,-,-
"Plumbing, heating, and hydronics equipment and supplies merchant wholesalers",42372,123.1,121.8,122.8,123.8,124.8,-,-
"Warm air heating, air-conditioning, and refrigeration equipment and supplies merchant wholesalers","42373,4",100.2,106.2,104.6,105.7,106.2,-,-
"Machinery, equipment, and supplies merchant wholesalers",4238,780.3,775,776,779.9,778.1,-,-
Construction and mining (except oil well) machinery and equipment merchant wholesalers,42381,111.9,114.6,114.5,116.3,116.1,-,-
Farm and garden machinery and equipment merchant wholesalers,42382,113.1,110.3,110.7,111.2,111.2,-,-
Industrial machinery and equipment merchant wholesalers,42383,347.7,348.3,348.1,349.4,348.2,-,-
Industrial supplies merchant wholesalers,42384,108.5,105,104.8,105.3,105.5,-,-
Service establishment equipment and supplies merchant wholesalers,42385,58.5,58,59.9,58.8,58.8,-,-
Transportation equipment and supplies (except motor vehicle) merchant wholesalers,42386,40.6,38.8,38,38.9,38.3,-,-
Miscellaneous durable goods merchant wholesalers,4239,324.5,330.2,330.5,334.1,332.1,-,-
Sporting and recreational goods and supplies merchant wholesalers,42391,67.8,70.4,70.1,72,71.3,-,-
Recyclable material merchant wholesalers,42393,103.9,101.6,103.4,102.9,102.2,-,-
"Jewelry, watch, precious stone, and precious metal merchant wholesalers",42394,34.2,36.6,36.7,36.9,36.4,-,-
Toy and hobby goods and supplies and other miscellaneous durable goods merchant wholesalers,"42392,9",118.6,121.6,120.3,122.3,122.2,-,-
"Merchant wholesalers, nondurable goods",424,2233.6,2224,2223.3,2226.8,2225.1,2226.2,1.1
Paper and paper product merchant wholesalers,4241,111.9,110.3,108.7,108.6,107.2,-,-
"Printing and writing paper, stationery, and office supplies merchant wholesalers","42411,2",49.1,48.7,46,46,44.5,-,-
Industrial and personal service paper merchant wholesalers,42413,62.8,61.6,62.7,62.6,62.7,-,-
Drugs and druggists' sundries merchant wholesalers,4242,258,263,262.4,261.5,261.9,-,-
"Apparel, piece goods, and notions merchant wholesalers",4243,143.1,135.8,136.9,138.8,140.8,-,-
"Footwear, piece goods, notions, and other dry goods merchant wholesalers","42431,4",44.8,43.1,43.3,43.6,42.9,-,-
Clothing and clothing accessories merchant wholesalers,42435,98.3,92.7,93.6,95.2,97.9,-,-
Grocery and related product merchant wholesalers,4244,845.2,843.1,842.7,841.9,838.5,-,-
General line grocery merchant wholesalers,42441,262.5,257.6,258.3,259.1,256.9,-,-
Packaged frozen food merchant wholesalers,42442,36.7,37.5,37.3,36.4,35.9,-,-
Confectionery merchant wholesalers,42445,64.8,62.5,61.7,61.5,61.1,-,-
"Dairy product (except dried or canned), poultry product, fish, seafood, meat, and meat product merchant wholesalers","42443,4,6,7",123.1,125.6,123.3,124.4,123.5,-,-
Fresh fruit and vegetable merchant wholesalers,42448,103.9,103.9,105,105.4,107.8,-,-
Other grocery and related products merchant wholesalers,42449,254.2,256,257.1,255.1,253.3,-,-
Farm product raw material merchant wholesalers,4245,75.3,75.8,76.9,79.2,77.5,-,-
Grain and field bean merchant wholesalers,42451,40.2,41.9,41.6,41.7,40.2,-,-
Chemical and allied products merchant wholesalers,4246,154.3,150.5,151.1,151.3,152.3,-,-
Petroleum and petroleum products merchant wholesalers,4247,101.5,101.7,101.9,102,102.6,-,-
"Beer, wine, and distilled alcoholic beverage merchant wholesalers",4248,216.1,215,213.8,212.6,213.1,-,-
Beer and ale merchant wholesalers,42481,116.2,116.6,115.1,115.5,115.4,-,-
Wine and distilled alcoholic beverage merchant wholesalers,42482,99.9,98.4,98.7,97.1,97.7,-,-
Miscellaneous nondurable goods merchant wholesalers,4249,328.2,328.8,328.9,330.9,331.2,-,-
Farm supplies merchant wholesalers,42491,121,120.4,119.7,120.2,119.4,-,-
"Flower, nursery stock, and florists' supplies merchant wholesalers",42493,49.7,49.9,50.1,49.7,49.6,-,-
All other nondurable goods merchant wholesalers,"42492,4,5,9",157.5,158.5,159.1,161,162.2,-,-
Wholesale trade agents and brokers,425,496.7,485.9,483.2,484.7,485.4,487.4,2
,,,,,,,,
Retail trade,,15954,15546.2,15484.2,15589.6,15825.8,15945.1,119.3
Motor vehicle and parts dealers,441,2049.4,2063.9,2059.6,2062.6,2058.1,2055.1,-3
Automobile dealers,4411,1297,1300.2,1298.7,1303.3,1299.2,1298.8,-0.4
New car dealers,44111,1132.1,1131.7,1132,1135.2,1131.4,-,-
Used car dealers,44112,164.9,168.5,166.7,168.1,167.8,-,-
Other motor vehicle dealers,4412,157.9,164.6,161.2,159.8,159.1,157.4,-1.7
Recreational vehicle dealers,44121,53.7,53.1,52.9,52,51.5,-,-
"Motorcycle, boat, and other motor vehicle dealers",44122,104.2,111.5,108.3,107.8,107.6,-,-
"Automotive parts, accessories, and tire retailers",4413,594.5,599.1,599.7,599.5,599.8,598.9,-0.9
Automotive parts and accessories retailers,44133,400.8,409.5,409.6,406.2,405.9,-,-
Tire dealers,44134,193.7,189.6,190.1,193.3,193.9,-,-
Building material and garden equipment and supplies dealers,444,1363.8,1371.1,1346.4,1345,1345.8,1350.2,4.4
Building material and supplies dealers,4441,1183.8,1182.4,1159.6,1159.9,1158.9,-,-
Hardware retailers,44414,177.4,175.6,176.7,176.7,177.6,-,-
"Home centers, paint, wallpaper, and other building material dealers","44411,2,8",1006.4,1006.8,982.9,983.2,981.3,-,-
Lawn and garden equipment and supplies retailers,4442,180,188.7,186.8,185.1,186.9,-,-
Outdoor power equipment retailers,44423,31,31.3,30.2,30.4,31.1,-,-
"Nursery, garden center, and farm supply retailers",44424,149,157.4,156.6,154.7,155.8,-,-
Food and beverage retailers,445,3276,3246.6,3231.3,3251.5,3275.5,3272.4,-3.1
Grocery and convenience retailers,4451,2858,2832.7,2824.2,2844.1,2867,-,-
Supermarkets and other grocery retailers (except convenience retailers),44511,2658.5,2631.2,2622.4,2641.6,2666.5,-,-
Convenience retailers and vending machine operators,44513,199.5,201.5,201.8,202.5,200.5,-,-
Convenience retailers,445131,164.7,167.6,168.6,168.8,167.9,-,-
Vending machine operators,445132,34.8,33.9,33.2,33.7,32.6,-,-
Specialty food retailers,4452,243.9,240.3,237.1,237.5,235.4,-,-
Fruit and vegetable retailers,44523,31.7,36.6,36.8,37.9,34.5,-,-
"Meat, fish, and seafood retailers","44524,5",85.6,77,75.4,75.2,74.7,-,-
Other specialty food retailers,44529,126.6,126.7,124.9,124.4,126.2,-,-
"Baked goods, confectionery, and nut retailers","445291,2",43.9,41.6,41.1,40.1,41.4,-,-
All other specialty food retailers,445298,82.7,85.1,83.8,84.3,84.8,-,-
"Beer, wine, and liquor retailers",4453,174.1,173.6,170,169.9,173.1,-,-
"Furniture, home furnishings, electronics, and appliance retailers",449,841.2,777.6,784.6,793.8,822.8,837,14.2
Furniture and home furnishings retailers,4491,426,395.7,397.3,402.9,412.3,417.5,5.2
Furniture retailers,44911,200.8,190.1,190.6,190.9,191.4,-,-
Home furnishings retailers,44912,225.2,205.6,206.7,212,220.9,-,-
Floor covering retailers,449121,70.7,71.8,71.9,71.2,71.1,-,-
Window treatment and all other home furnishings retailers,"449122,9",154.5,133.8,134.8,140.8,149.8,-,-
Electronics and appliance retailers,4492,415.2,381.9,387.3,390.9,410.5,419.5,9
General merchandise retailers,455,3455.5,3286.3,3289.9,3315.2,3402.5,3443.9,41.4
Department stores,4551,1124,980.9,982.4,1001.6,1067,1106.3,39.3
"Warehouse clubs, supercenters, and other general merchandise retailers",4552,2331.5,2305.4,2307.5,2313.6,2335.5,2337.6,2.1
Health and personal care retailers,456,1122.1,1071.9,1078.7,1087.5,1087.5,1096.9,9.4
Pharmacies and drug retailers,45611,717.7,680.2,687.9,695.2,690.2,-,-
"Cosmetics, beauty supplies, and perfume retailers",45612,206.7,194.7,193.9,196.3,200.6,-,-
Optical goods retailers,45613,74.9,75.8,76.4,76,76.1,-,-
Other health and personal care retailers,45619,122.8,121.2,120.5,120,120.6,-,-
Food (health) supplement retailers,456191,50.1,48.7,48,47.7,47.6,-,-
All other health and personal care retailers,456199,72.7,72.5,72.5,72.3,73,-,-
Gasoline stations and fuel dealers,457,1057.2,1066.4,1066,1069,1071.7,1072,0.3
Gasoline stations,4571,984.9,999.1,998.4,999.3,1000.6,-,-
Gasoline stations with convenience stores,45711,893.5,908.2,907.2,908.5,910,-,-
Other gasoline stations,45712,91.4,90.9,91.2,90.8,90.6,-,-
Fuel dealers,4572,72.3,67.3,67.6,69.7,71.1,-,-
"Clothing, clothing accessories, shoe, and jewelry retailers",458,1235.7,1138.9,1117.7,1134.7,1195,1238.3,43.3
Clothing and clothing accessories retailers,4581,925.2,833,817.7,832,884.6,-,-
Shoe retailers,4582,177.9,176.9,171.6,175.1,177,-,-
"Jewelry, luggage, and leather goods retailers",4583,132.6,129,128.4,127.6,133.4,-,-
"Sporting goods, hobby, musical instrument, book, and miscellaneous retailers",459,1553.1,1523.5,1510,1530.3,1566.9,1579.3,12.4
"Sporting goods, hobby, and musical instrument retailers",4591,523.5,494.3,486.1,491.3,528.7,-,-
Sporting goods retailers,45911,314.8,287.1,282,286,300.4,-,-
"Hobby, toy, and game retailers",45912,142.7,139.1,136.1,138.5,160.2,-,-
"Sewing, needlework, and piece goods retailers",45913,32.6,35.7,34.8,33.8,34.3,-,-
Musical instrument and supplies retailers,45914,33.4,32.4,33.2,33,33.8,-,-
Book retailers and news dealers,4592,67.7,65.9,69.9,71.9,76.1,-,-
Florists,4593,59.4,55,57.1,57.2,56.6,-,-
"Office supplies, stationery, and gift retailers",4594,197.4,190.9,185.6,191,188,-,-
Office supplies and stationery retailers,45941,63,62.9,62,61.9,61,-,-
"Gift, novelty, and souvenir retailers",45942,134.4,128,123.6,129.1,127,-,-
Used merchandise retailers,4595,215.2,216.2,214.9,217.8,218.6,-,-
Other miscellaneous retailers,4599,489.9,501.2,496.4,501.1,498.9,-,-
Pet and pet supplies retailers,45991,138,138.6,137.1,138.1,137.6,-,-
Art dealers,45992,18.5,19.2,17.8,19.3,17.4,-,-
Manufactured (mobile) home dealers and all other miscellaneous retailers,"45993,9",333.4,343.4,341.5,343.7,343.9,-,-
"Tobacco, electronic cigarette, and other smoking supplies retailers",459991,137,145.6,144.7,146.1,148.1,-,-
,,,,,,,,
Transportation and warehousing,,7048.5,6631.6,6692.2,6741.6,6854.5,6975.3,120.8
Air transportation,481,568.4,581.3,577.2,576.1,577.3,579.8,2.5
Scheduled air transportation,4811,507,518.5,514.9,513.8,515.7,-,-
Nonscheduled air transportation,4812,61.4,62.8,62.3,62.3,61.6,-,-
Rail transportation,482,154.6,151.7,151.3,150.9,150.3,150.3,0
Water transportation,483,67.7,76.1,73.2,71.9,69.8,70.8,1
Truck transportation,484,1521.9,1545.5,1531.1,1530,1521.7,1516.4,-5.3
General freight trucking,4841,1066.5,1059,1051.8,1051.8,1051.9,-,-
"General freight trucking, local",48411,291.7,289.8,286.6,284.9,286.4,-,-
"General freight trucking, long-distance",48412,774.8,769.2,765.2,766.9,765.5,-,-
"General freight trucking, long-distance, truckload",484121,526.4,520.5,518.7,520.3,519.8,-,-
"General freight trucking, long-distance, less than truckload",484122,248.4,248.7,246.5,246.6,245.7,-,-
Specialized freight trucking,4842,455.4,486.5,479.3,478.2,469.8,-,-
Used household and office goods moving,48421,94.1,106.4,101.3,97.9,96,-,-
"Specialized freight (except used goods) trucking, local",48422,225.7,240.8,240.2,243.2,237.9,-,-
"Specialized freight (except used goods) trucking, long-distance",48423,135.6,139.3,137.8,137.1,135.9,-,-
Transit and ground passenger transportation,485,500.9,422.6,503.6,510.8,513.4,516.7,3.3
Taxi and limousine service,4853,69.9,67.2,69.6,71,69.5,-,-
School and employee bus transportation,4854,232.4,157.9,233.3,238.1,240.1,-,-
"Urban transit systems and interurban, rural, and charter bus transportation","4851,2,5",85.9,83.9,86.6,86.5,87.5,-,-
Other transit and ground passenger transportation,4859,112.7,113.6,114.1,115.2,116.3,-,-
Pipeline transportation,486,56.2,61.3,60.7,60.8,60.9,61.4,0.5
Scenic and sightseeing transportation,487,26.1,47.2,41.1,35.9,31.8,31.7,-0.1
Support activities for transportation,488,855.1,847.2,844,848.1,850.1,846.7,-3.4
Support activities for air transportation,4881,284,277.5,276.1,279.3,279.1,-,-
Support activities for water transportation,4883,101.7,103.7,102.7,99.4,99.6,-,-
Marine cargo handling,48832,65.6,67.2,66.2,62.6,66.6,-,-
Support activities for road transportation,4884,115.6,114.2,114.1,116.1,116.3,-,-
Freight transportation arrangement,4885,265.8,265.4,265.7,267,268.7,-,-
"Other support activities for transportation, including rail","4882,9",88,86.4,85.4,86.3,86.4,-,-
Couriers and messengers,492,1407.3,1087.1,1095,1125.9,1234.7,1364.5,129.8
Couriers and express delivery services,4921,1198.5,903.8,906.7,926.4,1017.8,-,-
Local messengers and delivery and private postal service,49111221,208.8,183.3,188.3,199.5,216.9,-,-
Warehousing and storage,493,1890.3,1811.6,1815,1831.2,1844.5,1837,-7.5
General warehousing and storage,49311,1757.4,1679.3,1683.5,1697.7,1712.1,-,-
Refrigerated warehousing and storage,49312,70.8,68.7,68.8,69.6,69.6,-,-
"Other warehousing and storage, including farm product","49313,9",62.1,63.6,62.7,63.9,62.8,-,-
,,,,,,,,
Utilities,22,594.3,598.7,596.1,598.1,601,602.4,1.4
"Electric power generation, transmission and distribution",2211,415.6,418,416.8,419.2,421.9,-,-
Electric power generation,22111,159.2,159.9,159.4,161,163.1,-,-
Fossil fuel electric power generation,221112,73.6,74.2,73.7,74.1,74.6,-,-
"Hydroelectric and nuclear, solar, wind, geothermal, biomass, and other electric power generation","221111,3-8",85.6,85.7,85.7,86.9,88.5,-,-
"Electric power transmission, control, and distribution",22112,256.4,258.1,257.4,258.2,258.8,-,-
Electric bulk power transmission and control,221121,28.7,29.2,29.1,29.2,29.2,-,-
Electric power distribution,221122,227.7,228.9,228.3,229,229.6,-,-
Natural gas distribution,2212,116.1,117.1,116.3,116.2,116.3,-,-
"Water, sewage, and other systems",2213,62.6,63.6,63,62.7,62.8,-,-
,,,,,,,,
Information,51,2964,2952,2924,2924,2920,2932,12
Motion picture and sound recording industries,512,415.8,414.4,390.4,395.7,401.3,402.4,1.1
Motion picture and video production,51211,238.5,239.4,225.7,230.9,230.5,-,-
Motion picture and video exhibition,51213,121.2,123.8,112.2,111.7,115.8,-,-
Publishing industries,513,924.7,927.4,931.4,919.8,913.7,918.4,4.7
"Newspaper, periodical, book, and directory publishers",5131,266.6,260.6,256.1,256.6,255.4,-,-
Newspaper publishers,51311,86.9,84.5,82.6,82,80.6,-,-
Periodical publishers,51312,65.4,63.6,62.5,63,62.9,-,-
Book publishers,51313,56.5,56.4,55.5,56.4,56.5,-,-
"Directory, mailing list, and other publishers","51314,9",57.8,56.1,55.5,55.2,55.4,-,-
Software publishers,5132,658.1,666.8,675.3,663.2,658.3,-,-
Broadcasting and content providers,516,332.2,332.9,334.9,336.8,334.7,334.6,-0.1
Radio and television broadcasting stations,5161,113.6,111.3,111.6,112.4,111.7,-,-
Radio broadcasting stations,51611,49.9,47.7,48,48.3,47.9,-,-
Television broadcasting stations,51612,63.7,63.6,63.6,64.1,63.8,-,-
"Media streaming distribution services, social networks, and other media networks and content providers",5162,218.6,221.6,223.3,224.4,223,-,-
Telecommunications,517,622,602.6,602.3,601.8,597.7,613.3,15.6
Wired and wireless telecommunications (except satellite),5171,568.9,548.9,547.6,546.7,542.6,-,-
Wired and wireless telecommunications carriers (except satellite),51711,530.2,511.2,509.4,508.5,504.5,-,-
Wired telecommunications carriers,517111,447,430.8,429.4,429.3,424.7,-,-
Wireless telecommunications carriers (except satellite),517112,83.2,80.4,80,79.2,79.8,-,-
Telecommunications resellers,51712,38.7,37.7,38.2,38.2,38.1,-,-
All other telecommunications,"5174,8",53.1,53.7,54.7,55.1,55.1,-,-
"Computing infrastructure providers, data processing, web hosting, and related services",518,485.5,485.3,478.4,483.1,484,478.3,-5.7
"Web search portals, libraries, archives, and other information services",519,183.7,189.6,186.1,187.1,188.6,185,-3.6
Libraries and archives,51921,28.9,29.3,29.1,29.7,30.5,-,-
Web search portals and all other information services,51929,154.8,160.3,157,157.4,158.1,-,-
,,,,,,,,
Financial activities(2),,9235,9284,9237,9251,9251,9274,23
Finance and insurance,52,6743.9,6759.3,6736.9,6750.7,6755.9,6764.8,8.9
Monetary authorities-central bank,521,21.2,21.1,20.9,20.6,20.5,20.3,-0.2
Credit intermediation and related activities,522,2558.7,2560.8,2554.2,2551.3,2557.7,2562.6,4.9
Depository credit intermediation,5221,1779.7,1783,1778.3,1777.8,1781.5,1787.5,6
Commercial banking,52211,1369.6,1364.9,1360.2,1358.2,1359.1,1365,5.9
Credit unions,52213,313.8,323.3,323.7,324.7,326.7,-,-
Savings institutions and other depository credit intermediation,52218,96.3,94.8,94.4,94.9,95.7,-,-
Nondepository credit intermediation,5222,507.9,501.9,499.1,498.7,500.3,500.3,0
Credit card issuing,52221,61.3,55.8,55.9,55.2,55.3,-,-
Sales financing,52222,84.5,88,87.5,88.3,88.8,-,-
Other nondepository credit intermediation,52229,362.1,358.1,355.7,355.2,356.2,-,-
Consumer lending,522291,88.5,87.5,87.9,88.8,89.1,-,-
Real estate credit,522292,183.8,181.2,180,178.8,179.3,-,-
"International, secondary market, and all other nondepository credit intermediation",522299,89.8,89.4,87.8,87.6,87.8,-,-
Activities related to credit intermediation,5223,271.1,275.9,276.8,274.8,275.9,274.8,-1.1
Mortgage and nonmortgage loan brokers,52231,82.4,85.4,86,86.8,87.8,-,-
"Financial transactions processing, reserve, and clearinghouse activities",52232,124.5,128.4,129.1,127.7,127.3,-,-
Other activities related to credit intermediation,52239,64.2,62.1,61.7,60.3,60.8,-,-
"Securities, commodity contracts, funds, trusts, and other financial vehicles, investments, and related activities","523,5",1135.5,1159.5,1151.4,1160,1164.5,1170.5,6
"Securities and commodity contracts brokerage, intermediation, and exchanges","5231,2",485.4,487.9,484.3,488.7,489.8,-,-
Investment banking and securities intermediation,52315,450.7,452.8,450.4,454.3,455,-,-
"Funds, trusts, and other financial vehicles and investment activities","5239,50",650.1,671.6,667.1,671.3,674.7,-,-
Miscellaneous intermediation,52391,35.5,35.4,34.7,34.6,34.9,-,-
Portfolio management and investment advice,52394,519.1,537,533,538,541.2,-,-
All other financial investment activities,52399500,95.5,99.2,99.4,98.7,98.6,-,-
Insurance carriers and related activities,524,3028.5,3017.9,3010.4,3018.8,3013.2,3011.4,-1.8
Insurance carriers,5241,1617.5,1605.2,1599.4,1601.2,1598.2,-,-
"Direct life, health, and medical insurance carriers",52411,905.2,886.1,884.2,882.9,881.2,-,-
"Direct insurance (except life, health, and medical) carriers",52412,680.9,688.4,684.8,688.4,687.2,-,-
Direct property and casualty insurance carriers,524126,588.3,594.5,590.5,594.3,592.8,-,-
"Direct title insurance and other direct insurance (except life, health, and medical) carriers","524127,8",92.6,93.9,94.3,94.1,94.4,-,-
Reinsurance carriers,52413,31.4,30.7,30.4,29.9,29.8,-,-
"Agencies, brokerages, and other insurance related activities",5242,1411,1412.7,1411,1417.6,1415,-,-
Insurance agencies and brokerages,52421,1024.3,1029.1,1029.4,1039.4,1038.6,-,-
Other insurance related activities,52429,386.7,383.6,381.6,378.2,376.4,-,-
Claims adjusting,524291,60.5,57.8,55.7,53,50.5,-,-
Pharmacy benefit management and other third party administration of insurance and pension funds,524292,224,223.1,223.9,224.2,224.7,-,-
All other insurance related activities,524298,102.2,102.7,102,101,101.2,-,-
Real estate and rental and leasing,53,2490.9,2524.6,2499.6,2500,2495.5,2509,13.5
Real estate,531,1886.9,1892.4,1875.5,1887.7,1887.7,1898.7,11
Lessors of real estate,5311,634.8,632.7,625,623.2,623,-,-
Lessors of residential buildings and dwellings,53111,370.8,371,366.5,364.2,364.1,-,-
Lessors of nonresidential buildings (except miniwarehouses),53112,159.8,156.8,154.8,155.8,155.8,-,-
Lessors of miniwarehouses and self-storage units,53113,60.3,61,60.1,60.4,61.6,-,-
Lessors of other real estate property,53119,43.9,43.9,43.6,42.8,41.5,-,-
Offices of real estate agents and brokers,5312,399.4,394.9,394.1,404.3,405.2,-,-
Activities related to real estate,5313,852.7,864.8,856.4,860.2,859.5,-,-
Real estate property managers,53131,727.5,741.7,733.2,734.8,733.4,-,-
Residential property managers,531311,550.7,562,554.1,553.3,554.3,-,-
Nonresidential property managers,531312,176.8,179.7,179.1,181.5,179.1,-,-
Offices of real estate appraisers,53132,29.5,27.6,27.6,27.9,28.4,-,-
Other activities related to real estate,53139,95.7,95.5,95.6,97.5,97.7,-,-
Rental and leasing services,532,580.7,609,601,589.1,584.6,587,2.4
Automotive equipment rental and leasing,5321,217.1,222.5,221.6,216,216.4,-,-
Passenger car rental and leasing,53211,122.6,124.2,124.9,120.6,120.4,-,-
"Truck, utility trailer, and recreational vehicle (RV) rental and leasing",53212,94.5,98.3,96.7,95.4,96,-,-
Consumer goods rental,5322,127.3,147.4,140.2,135.6,131.7,-,-
Home health equipment rental,532283,32.9,34.8,35.5,35.3,35.5,-,-
General rental centers,5323,31.4,32.9,32.3,31.8,31.3,-,-
Commercial and industrial machinery and equipment rental and leasing,5324,204.9,206.2,206.9,205.7,205.2,-,-
"Construction, transportation, mining, and forestry machinery and equipment rental and leasing",53241,108.6,110.8,111.1,110,108,-,-
"Office, commercial, and industrial machinery and equipment rental and leasing","53242,9",96.3,95.4,95.8,95.7,97.2,-,-
Lessors of nonfinancial intangible assets (except copyrighted works),533,23.3,23.2,23.1,23.2,23.2,23.3,0.1
,,,,,,,,
Professional and business services,,22707,22648,22592,22748,22692,22605,-87
"Professional, scientific, and technical services",54,10912.2,10865.8,10773.3,10880.8,10892.5,10905.4,12.9
Legal services,5411,1203.7,1198.3,1195.5,1210,1212.9,1219.2,6.3
Offices of lawyers,54111,1107.4,1098.8,1096.7,1108.9,1112.7,-,-
Other legal services,54119,96.3,99.5,98.8,101.1,100.2,-,-
"Accounting, tax preparation, bookkeeping, and payroll services",5412,1133.8,1118.2,1114.6,1124.5,1131.7,1144.9,13.2
Offices of certified public accountants,541211,529.6,535,532.7,530.8,528.6,-,-
Tax preparation services,541213,88.4,58.9,59.7,64.6,79.2,-,-
Payroll services,541214,235.5,246.8,244.3,247.8,243.7,-,-
Other accounting services,541219,280.3,277.5,277.9,281.3,280.2,-,-
"Architectural, engineering, and related services",5413,1727.3,1777.1,1752,1762.6,1763.8,1762.3,-1.5
Architectural services,54131,203.2,206.8,203.4,205,204.6,-,-
Landscape architectural services,54132,33.1,38.1,37.4,37.6,36.5,-,-
Engineering and drafting services,"54133,4",1212.3,1245.8,1228.3,1234.4,1238.1,-,-
"Building inspection, surveying, and mapping services","54135,6,7",98.7,101.9,100,100.4,99.2,-,-
Testing laboratories and services,54138,180,184.5,182.9,185.2,185.4,-,-
Specialized design services,5414,153.3,151.3,149.8,152.9,152.4,150.6,-1.8
Interior design services,54141,60.2,61.6,61.2,62.1,63.1,-,-
Graphic design services,54143,54.8,51.9,51.1,52.5,52.5,-,-
Computer systems design and related services,5415,2453.8,2429.4,2393.9,2420.1,2417.3,2406.9,-10.4
Custom computer programming services,541511,1101.4,1097.1,1084,1094.5,1096.2,-,-
Computer systems design services,541512,1133.6,1114.8,1094.7,1109.8,1107.6,-,-
Computer facilities management services,541513,82.1,82.2,82.4,81.5,80.6,-,-
Other computer related services,541519,136.7,135.3,132.8,134.3,132.9,-,-
"Management, scientific, and technical consulting services",5416,1908.9,1877.7,1874.9,1900.4,1903.3,1911.6,8.3
Management consulting services,54161,1586,1563.2,1562.9,1584.4,1585.7,-,-
Administrative management and general management consulting services,541611,865.8,866.7,868.9,881.3,879.9,-,-
Human resources consulting services,541612,95,95.7,95.5,96.5,97.6,-,-
Marketing consulting services,541613,321.9,305.9,305.1,309,311.4,-,-
"Process, physical distribution, and logistics consulting services",541614,171.2,167.6,166.4,169.2,168.6,-,-
Other management consulting services,541618,132.1,127.3,127,128.4,128.2,-,-
Environmental consulting services,54162,104.6,104.7,103.9,104.5,104.2,-,-
Other scientific and technical consulting services,54169,218.3,209.8,208.1,211.5,213.4,-,-
Scientific research and development services,5417,939.8,931.6,919.4,918.6,918.6,920.8,2.2
"Research and development in the physical, engineering, and life sciences",54171,868.5,863,853.3,851,850.7,-,-
Research and development in nanotechnology,541713,23.6,20.9,21.2,21,20.6,-,-
"Research and development in biotechnology, except nanobiotechnology",541714,299.1,302,299.6,300.6,301.6,-,-
"Research and development in the physical, engineering, and life sciences, except nanotechnology and biotechnology",541715,545.8,540.1,532.5,529.4,528.5,-,-
Research and development in the social sciences and humanities,54172,71.3,68.6,66.1,67.6,67.9,-,-
"Advertising, public relations, and related services",5418,500.5,495.5,491.6,496.5,497.7,497.6,-0.1
Advertising agencies,54181,220,222.3,220,221,218.3,-,-
Public relations agencies,54182,70.1,64.5,64.3,65.3,65.3,-,-
Media buying agencies and media representatives,"54183,4",35.6,32.6,32.2,31.9,31.7,-,-
Indoor and outdoor display advertising,54185,31.1,30,30,30.1,30.4,-,-
Direct mail advertising,54186,29.5,28.5,27.9,27.9,28.1,-,-
Advertising material distribution and other services related to advertising,"54187,9",114.2,117.6,117.2,120.3,123.9,-,-
"Other professional, scientific, and technical services",5419,891.1,886.7,881.6,895.2,894.8,891.5,-3.3
Marketing research and public opinion polling,54191,67.4,60.4,60.9,60.6,61.9,-,-
Photographic services,54192,50.4,47.7,49.5,51.2,49,-,-
Veterinary services,54194,467.7,467.3,460.4,468.8,469.7,-,-
"Translation, interpretation, and all other professional, scientific, and technical services","54193,9",305.6,311.3,310.8,314.6,314.2,-,-
Management of companies and enterprises,55,2631.3,2640,2630.4,2626.5,2631.2,2640.8,9.6
Offices of bank and other holding companies,"551111,2",99.3,106.2,106,105.4,105.3,-,-
"Corporate, subsidiary, and regional managing offices",551114,2532,2533.8,2524.4,2521.1,2525.9,-,-
Administrative and support and waste management and remediation services,56,9163.9,9141.8,9187.8,9240.3,9168.3,9058.4,-109.9
Administrative and support services,561,8646,8615.4,8665.4,8718.1,8647.3,8540.3,-107
Office administrative services,5611,626.9,624.2,619.5,620.8,622,626.6,4.6
Facilities support services,5612,184.7,188,187.3,189.7,185.3,184,-1.3
Employment services,5613,3380.1,3175.2,3260.4,3304.9,3278.3,3258.5,-19.8
Employment placement agencies and executive search services,56131,304.8,284.3,286.4,288.6,290.2,-,-
Employment placement agencies,561311,264.6,247.1,248.2,250.4,252.2,-,-
Executive search services,561312,40.2,37.2,38.2,38.2,38,-,-
Temporary help services,56132,2643,2470.2,2548.6,2583.1,2556.2,2537.3,-18.9
Professional employer organizations,56133,432.3,420.7,425.4,433.2,431.9,-,-
Business support services,5614,686.4,635.9,642,646.8,650,656.1,6.1
Document preparation services,56141,36.8,33.9,32.8,32,31.8,-,-
Telephone call centers,56142,357.1,316.9,323.4,330.9,332.2,-,-
Telephone answering services,561421,36,37,36.9,36.9,37.9,-,-
Telemarketing bureaus and other contact centers,561422,321.1,279.9,286.5,294,294.3,-,-
Business service centers,56143,77.6,74.6,75.6,75.6,78.4,-,-
Collection agencies,56144,85.3,82.9,83.3,82.1,81.7,-,-
"Repossession, court reporting, stenotype, and other business support services and credit bureaus","56145,9",129.6,127.6,126.9,126.2,125.9,-,-
