Industry,2022 NAICS code,Dec. 2024,Aug. 2025,Sept. 2025,Oct. 2025,Nov. 2025 (p),Dec. 2025 (p),Change from: Nov.2025 - Dec.2025(p)
All other specialty trade contractors,23899,392.7,428.3,425.1,422.9,407.1,-,-
,,,,,,,,
Manufacturing,,12786,12774,12726,12710,12698,12711,13
,,,,,,,,
Durable goods,,7934,7898,7867,7851,7852,7872,20
Wood product manufacturing,321,414.1,413.3,409.8,406.2,403.4,402.9,-0.5
Sawmills and wood preservation,3211,88.6,88.5,87.6,86.9,85.5,-,-
"Veneer, plywood, and engineered wood product manufacturing",3212,81.6,83.7,83.5,83.3,83,-,-
Other wood product manufacturing,3219,243.9,241.1,238.7,236,234.9,-,-
Millwork,32191,106,104.2,103.1,101.6,100.2,-,-
Wood window and door manufacturing,321911,59,58,57.4,57.1,56.3,-,-
"Cut stock, resawing lumber, planing, and other millwork (including flooring)","321912,8",47,46.2,45.7,44.5,43.9,-,-
Wood container and pallet manufacturing,32192,60.7,59.7,58.4,57.9,58.1,-,-
All other wood product manufacturing,32199,77.2,77.2,77.2,76.5,76.6,-,-
Nonmetallic mineral product manufacturing,327,427.9,433.5,435.8,433.3,431,429.1,-1.9
Clay product and refractory manufacturing,3271,34.7,33.5,33.6,33.8,33.8,-,-
Glass and glass product manufacturing,3272,78.3,77.7,78.3,77.4,76.9,-,-
Cement and concrete product manufacturing,3273,211.6,218.8,218.8,218.4,215.8,-,-
Ready-mix concrete manufacturing,32732,107,111.3,110.7,110.3,107.7,-,-
"Cement and concrete pipe, brick, block, and other concrete product manufacturing","32731,3,9",104.6,107.5,108.1,108.1,108.1,-,-
"Lime, gypsum, and other nonmetallic mineral product manufacturing","3274,9",103.3,103.5,105.1,103.7,104.5,-,-
Primary metal manufacturing,331,372.8,376,374.7,373.3,372.8,375.3,2.5
Iron and steel mills and ferroalloy manufacturing,3311,85.2,87.1,87.2,87.4,86,-,-
Steel product manufacturing from purchased steel,3312,59.1,60.1,59.9,59.7,60.1,-,-
"Alumina, aluminum, and other nonferrous metal production and processing","3313,4",121.7,122.8,121.9,120.9,121.2,-,-
Foundries,3315,106.8,106,105.7,105.3,105.5,-,-
Ferrous metal foundries,33151,54.8,54.8,54.8,54.5,54.5,-,-
